target_idx,target_ra,target_dec,n_matches_total,match_number,smash_idx,smash_ra,smash_dec,distance_arcsec,has_match
65,12.419711,-73.236916,4,1,70,12.419060357813041,-73.23694062793467,0.6813503301313494,True
65,12.419711,-73.236916,4,2,71,12.419949348362952,-73.23707039945765,0.6084402743854677,True
65,12.419711,-73.236916,4,3,72,12.419686925195565,-73.2369503741945,0.12624650308318758,True
65,12.419711,-73.236916,4,4,73,12.420466147650068,-73.23680355426684,0.8823994897441128,True
66,12.42137,-72.301399,1,1,170,12.421357846151036,-72.30143531986143,0.13142635691432616,True
67,12.449533,-73.411659,1,1,54,12.44948939260216,-73.41166495457743,0.04968130869739681,True
68,12.482258,-73.047455,1,1,100,12.482300689993806,-73.04744232378953,0.06395726060584803,True
69,12.488276,-72.405502,1,1,168,12.488300304559969,-72.40551330340469,0.04853215911448805,True
70,12.498361,-73.07341,2,1,98,12.499118354585004,-73.0734371465196,0.7997958048871684,True
70,12.498361,-73.07341,2,2,99,12.49838345751929,-73.07340581589803,0.02794529419398615,True
71,12.501577,-72.983681,1,1,101,12.501542465266283,-72.98367981123886,0.0366338124169462,True
72,12.549769,-73.354309,1,1,58,12.549750262606432,-73.35433147023329,0.08316857422781562,True
73,12.554437,-73.286179,1,1,68,12.554404581281974,-73.28617710424224,0.03425088435619597,True
74,12.56634,-73.169647,2,1,76,12.56546106418941,-73.16965045116103,0.9162341550126202,True
74,12.56634,-73.169647,2,2,77,12.56628061050927,-73.16965681135568,0.07127182656432848,True
75,12.569629,-73.138657,1,1,78,12.569629474128735,-73.1386681652755,0.04019804071782254,True
76,12.575341,-72.455956,2,1,164,12.575336593018935,-72.4559595932272,0.013791346633536499,True
76,12.575341,-72.455956,2,2,165,12.575815819116304,-72.45578019828577,0.8161155616254812,True
77,12.588534,-73.102638,1,1,83,12.588565384053132,-73.10264642660118,0.04470658048693977,True
78,12.619976,-72.752563,1,1,132,12.620015043522951,-72.75256752281005,0.04474263923315625,True
79,12.620275,-73.120697,2,1,81,12.62032076945658,-73.12071551038588,0.08203293205651827,True
79,12.620275,-73.120697,2,2,82,12.62113408639895,-73.12068460110972,0.8990978766104529,True
80,12.629437,-72.872421,1,1,117,12.629502003760628,-72.87242104591333,0.0689172686164491,True
81,12.638301,-72.962532,1,1,116,12.638364193183035,-72.96254350152772,0.07846888995696395,True
82,12.669093,-72.834183,2,1,126,12.66911554940418,-72.83418147389264,0.02458052232572976,True
82,12.669093,-72.834183,2,2,127,12.669683934702196,-72.83416431795753,0.6314585464081668,True
83,12.694161,-72.241043,2,1,203,12.694197814738446,-72.24109769595101,0.20101210763702843,True
83,12.694161,-72.241043,2,2,204,12.694749589456125,-72.24095968586334,0.7125047613164589,True
84,12.708537,-73.394318,1,1,55,12.70854370705363,-73.39434586652025,0.10055650866726693,True
85,12.758097,-73.268562,1,1,69,12.75814064602634,-73.26859962386504,0.14279962330896936,True
86,12.779685,-72.998734,2,1,106,12.77938490594469,-72.9987915144984,0.3776936869465316,True
86,12.779685,-72.998734,2,2,107,12.77977699910258,-72.99875556569734,0.12411815757046511,True
87,12.788992,-72.809959,1,1,128,12.789011678519024,-72.80999290288453,0.12383316508791987,True
88,12.799663,-72.471596,2,1,166,12.79968739994506,-72.47163097009225,0.1286420209717593,True
88,12.799663,-72.471596,2,2,167,12.799740716962527,-72.47133550662629,0.941554370527796,True
89,12.806897,-72.550446,2,1,160,12.806955423373106,-72.55045595495947,0.07254002644805263,True
89,12.806897,-72.550446,2,2,161,12.806581538451677,-72.5502315450728,0.8438100588781273,True
90,12.816462,-73.159111,1,1,87,12.816501204455577,-73.15914959792332,0.1448438060046806,True
91,12.826005,-72.723526,1,1,133,12.826096361458532,-72.72352635135213,0.09768620870407212,True
92,12.833997,-73.136757,1,1,88,12.834008801542897,-73.13680673581555,0.17947260483816152,True
93,12.857086,-72.763344,2,1,129,12.857193334717634,-72.76333139089458,0.12316890563344329,True
