ra,dec,RAJ2000,DEJ2000,Bmag,e_Bmag,f_Bmag,Vmag,e_Vmag,f_Vmag,gmag,e_gmag,f_gmag,rmag,e_rmag,f_rmag,imag,e_imag,f_imag
82.856436,-69.094009                    ,082.8563342,-69.0940537,11.783, 3,.,11.865, 3,.,11.751, 9,.,11.922, 3,.,12.200, 5,.

82.967797,-68.544136                    ,082.9678189,-68.5441295,10.577, 3,.,10.557, 3,.,10.641, 1, ,10.631, 1, ,10.816, 6,.

83.078431,-66.403351                    ,083.0784430,-66.4033453,11.474, 2,.,11.427, 2,.,11.411, 1,.,11.487, 0,.,11.645, 0,.

83.079759,-66.99791                     ,083.0797598,-66.9979270,11.542, 1,.,11.498, 3,.,      ,  , ,      ,  , ,11.741, 0,.

83.086306,-67.52153                     ,083.0863471,-67.5215317,11.040,10,.,10.918, 3,.,10.946, 1, ,10.891, 1, ,10.647, 1,.

83.090473,-66.726135                    ,083.0905021,-66.7261228,12.221, 3,.,12.119, 1,.,12.109, 3,.,12.215, 2,.,12.364, 4,.

83.104007,-67.698242                    ,083.1040265,-67.6982248,11.024, 1, ,10.117, 1, ,      ,  , ,      ,  , , 9.274, 1,

83.257318,-66.801491                    ,083.2573486,-66.8014817,14.294, 4,.,12.757, 4,.,13.469, 1,.,12.275, 3,.,11.854, 1,.

83.37404,-65.945999                     ,083.3740374,-65.9459767,12.391, 3,.,11.764, 3,.,12.067, 1,.,11.594, 1,.,11.337, 3,.

83.418096,-69.116096                    ,083.4181577,-69.1160948,12.938, 1, ,12.711, 1, ,      ,  , ,      ,  , ,      ,  ,

83.496123,-67.537704                    ,083.4961371,-67.5377150,12.253, 7,.,12.228, 1,.,12.163, 3,.,12.312, 4,.,12.435, 6,.

83.585317,-68.855721                    ,083.5853012,-68.8556950,13.502, 7,.,12.941, 1,.,13.174, 3,.,12.828, 2,.,12.722, 3,.

83.593595,-67.023216                    ,083.5935965,-67.0232173, 9.886,99,., 9.862,99,.,      ,  , ,      ,  , ,      ,  ,

83.597591,-68.599701,,,,,,,,,,,,,,,,,

83.600928,-69.008636                    ,083.6009339,-69.0086445,12.400, 4,.,12.243, 1,.,12.256, 1,.,12.289, 3,.,12.381, 1,.

83.620125,-67.125839                    ,083.6200589,-67.1258309,11.530,11,.,11.417, 1,.,11.429, 1, ,11.393, 1, ,11.364, 1,.

83.680276,-67.06958                     ,083.6802871,-67.0695675,13.478, 4,.,11.778, 1,.,12.564, 4,.,11.252, 1,.,10.795, 1,.

83.73109,-67.351929                     ,083.7310948,-67.3519223,10.529, 1, ,10.418, 1, ,11.049, 1, ,10.484, 1, ,10.638, 1,.

