# ra dec
82.062731 -66.685516
82.070179 -69.104988
82.073984 -66.144203
82.083504 -67.038734
82.091548 -67.296677
82.110799 -66.517159
82.116361 -69.215927
82.133568 -69.200859
82.140347 -69.147591
82.148558 -69.028488
82.159055 -69.855194
82.166598 -69.050812
82.166977 -66.158905
82.16983 -66.106171
82.185051 -69.228806
82.187213 -71.970413
82.194611 -69.431656
82.194871 -70.779709
82.227691 -66.024529
82.256902 -66.649391
82.258115 -66.221855
82.267326 -69.355209
82.270476 -69.497971
82.282834 -66.600044
82.295268 -66.183044
82.339233 -66.535522
82.344639 -66.050148
82.349941 -69.471077
82.386516 -68.613655
82.412411 -67.626755
82.430658 -66.864952
82.471529 -69.122398
82.49221 -69.386147
82.509449 -67.045898
82.510236 -65.933891
82.529579 -67.261993
82.555391 -69.353394
82.580741 -65.90361
82.606141 -66.959465
82.607514 -67.221786
82.612863 -67.102829
82.61416 -66.482208
82.623667 -66.622704
82.656436 -69.722893
82.657663 -68.410896
82.66349 -69.119286
82.67394 -69.192993
82.684413 -68.60955
82.692291 -67.205116
82.705807 -67.153381
82.71537 -67.028183
82.716435 -67.636215
82.717271 -68.693733
82.729433 -66.783691
82.744578 -70.693527
82.751967 -69.18647
82.756683 -69.626312
82.791314 -67.030815
82.824149 -66.95565
82.83041 -67.011963
82.840846 -70.957069
82.869474 -71.389946
82.910079 -67.469894
82.915076 -69.04393
82.956683 -71.060585
82.982888 -69.023308
83.015543 -66.657982
83.069673 -66.395912
83.079759 -66.99791
83.086202 -68.846603
83.090473 -66.726135
83.117512 -69.606491
83.120461 -67.531967
83.130112 -71.04113
83.150667 -69.017799
83.15235 -70.806839
83.159004 -68.795959
83.187091 -66.874779
83.242337 -67.555969
83.25456 -69.374802
83.257318 -66.801491
83.284848 -69.177261
83.291798 -67.733246
83.371852 -67.338905
83.400133 -67.500008
83.401523 -69.386848
83.418096 -69.116096
83.437062 -67.000183
83.466395 -67.133904
83.475324 -68.799622
83.492801 -68.694839
83.496123 -67.537704
83.504781 -70.712234
83.535131 -68.717476
83.546271 -69.42907
83.578245 -69.438858
83.579468 -67.108109
83.585317 -68.855721
83.620125 -67.125839
83.643156 -66.973167
83.660324 -66.984283
83.666828 -67.502647
83.680276 -67.06958
83.724042 -69.133911
83.728128 -67.71991
83.73109 -67.351929
83.750996 -67.020187
83.805197 -69.24292
83.806484 -68.989159
83.855651 -69.467857
83.863142 -69.231224
83.879608 -66.756744
83.898897 -67.656158
83.899876 -69.118477
83.900594 -68.534393
83.935222 -66.882256
83.955935 -66.700485
83.965573 -69.014648
83.99922 -69.189514
84.004767 -66.844955
84.00662 -68.178719
84.015786 -69.025024
84.059698 -69.191147
84.073025 -68.963707
84.07388 -71.02211
84.080953 -68.224899
84.104967 -69.692101
84.111621 -69.397614
84.115443 -69.10833
84.116698 -69.176773
84.143504 -67.675377
84.209274 -68.96122
84.223679 -70.35643
84.236771 -69.271767
84.26094 -69.643074
84.266308 -69.167656
84.289308 -69.324539
84.29194 -69.145271
84.311686 -70.506462
84.327357 -70.22673
84.382455 -70.299202
84.392608 -69.45929
84.400341 -69.112473
84.420914 -67.72126
84.43914 -69.309685
84.451209 -69.154228
84.454298 -69.085632
84.45471 -68.91713
84.521252 -69.296501
84.564034 -69.067642
84.576233 -69.067322
84.58367 -70.493515
84.600885 -69.487045
84.611746 -69.764206
84.661939 -69.13736
84.663114 -69.105888
84.677308 -69.017288
84.679486 -69.025673
84.690442 -69.106178
84.690958 -66.614372
84.715095 -69.13533
84.721164 -70.717834
84.738261 -68.948074
84.745164 -67.188858
84.76943 -67.879074
84.769867 -69.069397
84.77477 -69.274086
84.783639 -70.337944
84.798453 -69.510391
84.812588 -68.200294
84.834334 -69.107307
84.916091 -69.20118
84.916984 -69.742706
84.947372 -67.326729
84.949506 -69.267471
84.979328 -67.15332
84.98221 -69.273872
85.004564 -69.581306
85.03308 -67.099304
85.049669 -68.481689
85.053551 -69.581863
85.056237 -69.579239
85.061051 -68.031303
85.067588 -66.67672
85.072987 -69.515961
85.074858 -69.468552
85.080661 -69.689636
85.088533 -69.3116
85.104934 -69.311783
85.137987 -67.211502
85.145193 -69.66127
85.147967 -68.117111
85.187421 -70.352684
85.241643 -69.23159
85.244159 -69.25267
85.249355 -69.644539
85.279678 -71.507668
85.282366 -68.715179
85.284794 -67.3564
85.287083 -69.374931
85.288253 -69.180138
85.289906 -69.179497
85.313089 -69.241997
85.31339 -67.428017
85.320522 -69.169754
85.320719 -68.774788
85.325201 -69.498383
85.335081 -69.255928
85.375419 -69.325356
85.41332 -69.823555
85.417021 -68.606743
85.419263 -69.368065
85.436136 -69.587502
85.44976 -67.424591
85.453935 -69.297897
85.465791 -70.423386
85.480018 -66.739258
85.497118 -69.729179
85.498134 -67.343369
85.500693 -69.212509
85.507777 -68.714325
85.532318 -69.280785
85.535084 -69.211502
85.537535 -69.216705
85.538861 -68.458649
85.549741 -69.207756
85.554417 -69.20118
85.560769 -68.51284
85.564934 -68.176895
85.576602 -68.461136
85.58733 -69.487892
85.603976 -68.371994
85.605136 -69.479073
85.621564 -67.328308
85.629423 -68.268906
85.649797 -69.069824
85.655485 -70.784775
85.68147 -68.231514
85.692075 -67.812019
85.711686 -71.136505
85.726536 -68.215897
85.763473 -67.468979
85.824277 -69.69725
85.885111 -68.3144
85.92611 -68.58667
86.007315 -67.633423
86.014336 -69.902939
86.018106 -70.90406
86.050507 -69.228134
86.116863 -69.801651
86.129225 -69.337624
86.136478 -67.576225
86.164983 -66.87178
86.201296 -71.041496
86.20323 -69.539848
86.210766 -67.494606
86.31922 -68.99778
86.332 -67.509865
86.368152 -67.688766
86.46637 -67.240532
86.476941 -67.333168
86.499385 -71.228409
86.507263 -66.990051
86.528952 -67.713066
